bom_id,product_id,material_id,quantity_per_unit
BOM-1326,M-1157,RM-93,1.2
BOM-1327,M-1068,RM-102,0.5 kg
BOM-1328,M-1271,RM-34,0.5
BOM-1329,M-1133,RM-24,2 件
BOM-1330,M-1073,RM-97,0.5
BOM-1331,M-1114,RM-59,2 件
BOM-1332,M-1174,RM-77,500 g
BOM-1333,M-1142,RM-113,2 件
BOM-1334,M-1232,RM-111,500 g
BOM-1335,M-1195,RM-69,1.2 m
BOM-1336,M-1026,RM-102,0.5
BOM-1337,M-1211,RM-57,500 g
BOM-1338,M-1293,RM-21,0.5 kg
BOM-1339,M-1166,RM-90,0.5 kg
BOM-1340,M-1160,RM-43,1.2
BOM-1341,M-1045,RM-115,0.5 kg
BOM-1342,M-1235,RM-72,0.5
BOM-1343,M-1167,RM-114,0.5 kg
BOM-1344,M-1010,RM-11,0.5
BOM-1345,M-1025,RM-29,500 g
BOM-1346,M-1294,RM-99,1.2 m
BOM-1347,M-1124,RM-106,0.5 kg
BOM-1348,M-1143,RM-16,2 件
BOM-1349,M-1114,RM-117,0.5
BOM-1350,M-1025,RM-35,1.2 m
BOM-1351,M-1295,RM-32,1.2 m
BOM-1352,M-1077,RM-23,0.5
BOM-1353,M-1112,RM-119,500 g
BOM-1354,M-1125,RM-42,1.2
BOM-1355,M-1171,RM-13,0.5
BOM-1356,M-1221,RM-106,0.5
BOM-1357,M-1008,RM-75,0.5
BOM-1358,M-1164,RM-90,1.2 m
BOM-1359,M-1283,RM-101,500 g
BOM-1360,M-1107,RM-111,1.2
BOM-1361,M-1062,RM-87,1.2 m
BOM-1362,M-1222,RM-3,500 g
BOM-1363,M-1267,RM-9,500 g
BOM-1364,M-1174,RM-42,1.2 m
BOM-1365,M-1141,RM-17,0.5
BOM-1366,M-1070,RM-10,1.2 m
BOM-1367,M-1079,RM-8,0.5
BOM-1368,M-1294,RM-90,0.5
BOM-1369,M-1163,RM-65,500 g
BOM-1370,M-1137,RM-73,1.2 m
BOM-1371,M-1094,RM-63,2 件
BOM-1372,M-1081,RM-55,2 件
BOM-1373,M-1235,RM-100,2 件
BOM-1374,M-1089,RM-19,1.2
BOM-1375,M-1126,RM-69,0.5
BOM-1376,M-1186,RM-84,0.5 kg
BOM-1377,M-1009,RM-91,1.2 m
BOM-1378,M-1138,RM-76,2 件
BOM-1379,M-1065,RM-105,0.5
BOM-1380,M-1183,RM-53,500 g
BOM-1381,M-1138,RM-116,1.2 m
BOM-1382,M-1018,RM-33,0.5
BOM-1383,M-1163,RM-53,500 g
BOM-1384,M-1224,RM-82,500 g
BOM-1385,M-1158,RM-55,500 g
BOM-1386,M-1174,RM-11,1.2 m
BOM-1387,M-1164,RM-73,0.5 kg
BOM-1388,M-1109,RM-90,0.5 kg
BOM-1389,M-1185,RM-43,0.5
BOM-1390,M-1297,RM-100,1.2
BOM-1391,M-1129,RM-109,500 g
BOM-1392,M-1013,RM-111,0.5 kg
BOM-1393,M-1119,RM-93,500 g
BOM-1394,M-1114,RM-100,1.2 m
BOM-1395,M-1123,RM-26,500 g
BOM-1396,M-1123,RM-98,2 件
BOM-1397,M-1166,RM-39,1.2
BOM-1398,M-1187,RM-65,1.2 m
BOM-1399,M-1183,RM-74,0.5
BOM-1400,M-1061,RM-28,1.2
BOM-1401,M-1064,RM-80,0.5 kg
BOM-1402,M-1018,RM-18,2 件
BOM-1403,M-1026,RM-14,0.5 kg
BOM-1404,M-1280,RM-62,0.5 kg
BOM-1405,M-1171,RM-60,2 件
BOM-1406,M-1016,RM-55,0.5
BOM-1407,M-1149,RM-51,0.5
BOM-1408,M-1044,RM-44,500 g
BOM-1409,M-1024,RM-17,1.2
BOM-1410,M-1163,RM-4,500 g
BOM-1411,M-1135,RM-105,500 g
BOM-1412,M-1181,RM-87,500 g
BOM-1413,M-1222,RM-64,2 件
BOM-1414,M-1295,RM-12,0.5 kg
BOM-1415,M-1238,RM-29,500 g
BOM-1416,M-1199,RM-67,500 g
BOM-1417,M-1239,RM-19,500 g
BOM-1418,M-1251,RM-111,0.5
BOM-1419,M-1180,RM-81,0.5 kg
BOM-1420,M-1220,RM-14,500 g
BOM-1421,M-1226,RM-74,1.2
BOM-1422,M-1264,RM-88,2 件
BOM-1423,M-1007,RM-30,1.2
BOM-1424,M-1105,RM-115,0.5
BOM-1425,M-1182,RM-85,1.2 m
BOM-1426,M-1229,RM-45,1.2 m
BOM-1427,M-1132,RM-71,1.2 m
BOM-1428,M-1014,RM-99,500 g
BOM-1429,M-1245,RM-118,1.2 m
BOM-1430,M-1053,RM-33,1.2 m
BOM-1431,M-1049,RM-83,0.5 kg
BOM-1432,M-1180,RM-43,1.2 m
BOM-1433,M-1251,RM-95,2 件
BOM-1434,M-1197,RM-23,500 g
BOM-1435,M-1278,RM-118,1.2 m
BOM-1436,M-1011,RM-73,500 g
BOM-1437,M-1045,RM-101,0.5
BOM-1438,M-1080,RM-28,0.5
BOM-1439,M-1121,RM-90,1.2 m
BOM-1440,M-1002,RM-42,0.5 kg
BOM-1441,M-1293,RM-109,0.5 kg
BOM-1442,M-1015,RM-96,0.5
BOM-1443,M-1172,RM-56,2 件
BOM-1444,M-1206,RM-23,2 件
BOM-1445,M-1171,RM-52,1.2 m
BOM-1446,M-1260,RM-25,2 件
BOM-1447,M-1009,RM-37,500 g
BOM-1448,M-1119,RM-55,2 件
BOM-1449,M-1059,RM-119,1.2
BOM-1450,M-1222,RM-105,2 件
BOM-1451,M-1250,RM-36,2 件
BOM-1452,M-1172,RM-105,1.2
BOM-1453,M-1212,RM-103,1.2 m
BOM-1454,M-1180,RM-71,500 g
BOM-1455,M-1104,RM-68,0.5 kg
BOM-1456,M-1214,RM-45,2 件
BOM-1457,M-1249,RM-34,0.5 kg
BOM-1458,M-1229,RM-111,2 件
BOM-1459,M-1088,RM-100,2 件
BOM-1460,M-1229,RM-3,2 件
BOM-1461,M-1045,RM-105,500 g
BOM-1462,M-1062,RM-92,500 g
BOM-1463,M-1157,RM-34,0.5
BOM-1464,M-1119,RM-86,1.2
BOM-1465,M-1013,RM-120,0.5
BOM-1466,M-1022,RM-76,0.5 kg
BOM-1467,M-1037,RM-19,2 件
BOM-1468,M-1242,RM-18,500 g
BOM-1469,M-1072,RM-70,0.5
BOM-1470,M-1254,RM-75,1.2
BOM-1471,M-1136,RM-42,0.5 kg
BOM-1472,M-1034,RM-80,0.5
BOM-1473,M-1162,RM-80,1.2 m
BOM-1474,M-1180,RM-110,1.2
BOM-1475,M-1000,RM-93,2 件
BOM-1476,M-1043,RM-68,1.2
BOM-1477,M-1063,RM-95,0.5 kg
BOM-1478,M-1061,RM-11,1.2 m
BOM-1479,M-1130,RM-62,1.2 m
BOM-1480,M-1111,RM-59,2 件
BOM-1481,M-1265,RM-72,0.5 kg
BOM-1482,M-1005,RM-78,0.5 kg
BOM-1483,M-1008,RM-80,2 件
BOM-1484,M-1023,RM-37,1.2 m
BOM-1485,M-1031,RM-117,1.2 m
BOM-1486,M-1118,RM-93,500 g
BOM-1487,M-1002,RM-18,500 g
BOM-1488,M-1103,RM-50,0.5 kg
BOM-1489,M-1198,RM-94,0.5 kg
BOM-1490,M-1221,RM-93,1.2 m
BOM-1491,M-1232,RM-45,0.5
BOM-1492,M-1144,RM-88,0.5 kg
BOM-1493,M-1161,RM-78,1.2
BOM-1494,M-1005,RM-25,1.2 m
BOM-1495,M-1274,RM-66,1.2
BOM-1496,M-1061,RM-84,0.5 kg
BOM-1497,M-1231,RM-25,1.2 m
BOM-1498,M-1106,RM-9,1.2
BOM-1499,M-1105,RM-100,500 g
BOM-1500,M-1053,RM-15,1.2 m
