shipment_id,supplier_id,part_number,quantity,unit_cost,order_date,arrival_date,lead_time_days
SHIP-687,MFG-97,PN-9279,169,69.13,2023-03-18,2024-08-27,20
SHIP-688,MFG-106,PN-3553,88,1.46,2024-12-05,2022-01-05,16
SHIP-689,MFG-193,PN-9108,20,60.28,15-07-2023,04/23/2023,30
SHIP-690,MFG-82,PN-1272,41,71.53,2022-10-04,2024-07-09,19
SHIP-691,MFG-3,PN-2963,52,12.41,15-08-2024,12/08/2023,30
SHIP-692,MFG-169,PN-8164,132,43.52,2024-04-07,2024-11-26,19
SHIP-693,MFG-84,PN-8320,24,99.43,2024-06-23,2024-11-03,19
SHIP-694,MFG-6,PN-9000,138,36,2021-10-06,02/07/2020,22
SHIP-695,MFG-143,PN-7521,192,"54,19",2021-07-07,23-07-2020,24
SHIP-696,MFG-112,PN-3394,27,"24,97",2021-04-14,2022-11-26,9
SHIP-697,MFG-53,PN-9585,112,71.25,2021-06-01,18-03-2023,13
SHIP-698,MFG-164,PN-6928,147,"40,32",2020-11-06,26-12-2020,65
SHIP-699,MFG-107,PN-4844,8,28.66,2022-03-27,08/11/2024,3
SHIP-700,MFG-67,PN-7744,126,"62,82",2022-12-23,2021-09-26,1
SHIP-701,MFG-140,PN-9162,30,92,20-08-2021,2023-03-18,11
SHIP-702,MFG-66,PN-9830,103,79.49,2023-12-25,12/04/2023,11
SHIP-703,MFG-165,PN-2283,24,"60,45",2020-08-25,05/06/2024,13
SHIP-704,MFG-63,PN-7257,158,92.16,2022-04-15,2022-01-26,32
SHIP-705,MFG-124,PN-1642,35,74.48,2023-11-02,26-10-2020,28
SHIP-706,MFG-45,PN-6520,50,90,2023-10-20,2022-08-23,16
SHIP-707,MFG-15,PN-6638,100,53,22-09-2024,06/03/2024,15
SHIP-708,MFG-49,PN-1633,168,85.52,01-04-2023,18-12-2023,19
SHIP-709,MFG-84,PN-2082,22,73.51,08/06/2022,01/07/2020,5
SHIP-710,MFG-116,PN-9528,23,76.2,2020-02-09,2023-05-03,27
SHIP-711,MFG-110,PN-6757,20,17.14,18-12-2020,2024-09-12,10
SHIP-712,MFG-150,PN-3036,104,4.2,2023-08-11,10-11-2020,41
SHIP-713,MFG-119,PN-2261,99,46,2023-06-23,01/10/2021,4
SHIP-714,MFG-14,PN-2824,59,99.36,2020-10-13,11/07/2022,6
SHIP-715,MFG-50,PN-1437,184,69,11/28/2024,2021-11-26,25
SHIP-716,MFG-58,PN-6910,198,46.66,05/22/2023,04/01/2022,1
SHIP-717,MFG-32,PN-6134,139,"62,5",07/21/2023,11/05/2024,53
SHIP-718,MFG-35,PN-3906,178,75,05/01/2024,03/14/2022,16
SHIP-719,MFG-21,PN-9640,182,88.91,27-04-2021,01/12/2022,2
SHIP-720,MFG-152,PN-3561,99,"1,12",2024-12-10,2023-12-19,25
SHIP-721,MFG-172,PN-6328,84,44.99,23-12-2021,2024-11-18,57
SHIP-722,MFG-5,PN-8112,36,23.65,01/01/2020,2020-12-27,11
SHIP-723,MFG-163,PN-2364,175,"38,8",2023-08-22,2020-01-04,15
SHIP-724,MFG-153,PN-3309,146,9.67,10/01/2020,2020-12-16,2
SHIP-725,MFG-65,PN-8170,178,36,2023-12-16,07/14/2021,20
SHIP-726,MFG-119,PN-1174,141,96,2024-10-24,2022-04-12,1
SHIP-727,MFG-32,PN-4341,20,4.39,06-08-2021,03/12/2020,18
SHIP-728,MFG-10,PN-8405,64,"70,43",07/10/2024,2024-11-20,21
SHIP-729,MFG-100,PN-3467,86,95.86,12/05/2023,2023-10-26,3
SHIP-730,MFG-36,PN-9708,168,89,07/17/2022,11/03/2020,25
SHIP-731,MFG-152,PN-9594,69,"64,82",2024-09-07,2023-08-12,11
SHIP-732,MFG-96,PN-8141,170,77.3,02/10/2020,2023-02-20,8
SHIP-733,MFG-69,PN-7239,156,74.25,2021-10-02,07/08/2023,16
SHIP-734,MFG-77,PN-8058,144,30,10/09/2024,2022-11-04,30
SHIP-735,MFG-50,PN-4704,153,27.22,2021-11-09,02/24/2022,15
SHIP-736,MFG-60,PN-4906,72,92.21,2024-06-12,2023-04-14,30
SHIP-737,MFG-126,PN-3247,21,"6,4",2024-06-08,2020-12-12,13
SHIP-738,MFG-68,PN-2241,28,"4,37",2022-12-03,2024-08-16,10
SHIP-739,MFG-12,PN-2944,27,78.24,28-01-2023,07-02-2024,23
SHIP-740,MFG-81,PN-2204,19,8.3,27-07-2021,2020-12-03,27
SHIP-741,MFG-5,PN-7772,198,43.2,2020-07-27,05-02-2020,26
SHIP-742,MFG-46,PN-4386,20,85.12,24-01-2024,2023-10-07,5
SHIP-743,MFG-181,PN-2820,59,62.72,2024-01-04,2023-10-14,15
SHIP-744,MFG-153,PN-6938,70,"87,57",2023-12-08,2024-05-02,3
SHIP-745,MFG-101,PN-6180,144,"55,95",11/15/2021,2021-11-03,28
SHIP-746,MFG-86,PN-2977,161,"38,29",2024-02-13,2021-07-22,26
SHIP-747,MFG-195,PN-3913,54,11.5,13-10-2021,11/19/2022,23
SHIP-748,MFG-19,PN-7332,113,38.98,2023-02-04,15-05-2021,15
SHIP-749,MFG-32,PN-4311,36,25.22,2021-04-12,2024-05-05,12
SHIP-750,MFG-63,PN-7328,141,17,2020-03-20,03/02/2020,21
SHIP-751,MFG-172,PN-8686,118,70,2021-02-24,2023-09-02,18
SHIP-752,MFG-102,PN-9790,145,"28,02",12/21/2024,2024-08-05,3
SHIP-753,MFG-126,PN-1219,145,33,2021-11-02,2021-03-13,30
SHIP-754,MFG-107,PN-7662,186,2,2020-08-10,2021-05-01,16
SHIP-755,MFG-176,PN-9696,90,29,09/24/2020,10/02/2021,8
SHIP-756,MFG-57,PN-8236,88,42.19,2022-08-23,2022-05-26,19
SHIP-757,MFG-177,PN-7729,98,23.66,2024-09-14,15-04-2022,11
SHIP-758,MFG-122,PN-8690,53,9.79,2023-07-06,04-09-2024,62
SHIP-759,MFG-200,PN-8732,174,8.91,2021-11-25,2023-01-27,1
SHIP-760,MFG-184,PN-8580,5,87,2021-08-15,19-11-2024,10
SHIP-761,MFG-86,PN-9275,32,89.69,05/18/2024,2022-05-10,16
SHIP-762,MFG-38,PN-5033,172,84.72,11/06/2021,10/27/2022,8
SHIP-763,MFG-19,PN-6210,120,"12,45",2024-07-22,02/16/2024,12
SHIP-764,MFG-116,PN-1230,194,92.76,18-03-2022,2023-08-07,1
SHIP-765,MFG-41,PN-1405,102,44.08,2020-04-24,2021-07-02,14
SHIP-766,MFG-70,PN-5197,171,1.46,2021-04-22,2020-09-04,19
SHIP-767,MFG-182,PN-1717,23,54.16,01/22/2023,2023-10-03,23
SHIP-768,MFG-138,PN-6545,169,11.81,2022-06-21,01-02-2023,26
SHIP-769,MFG-156,PN-4233,197,54,2021-10-28,2021-03-22,19
SHIP-770,MFG-174,PN-3701,157,44,01/03/2021,14-06-2023,20
SHIP-771,MFG-69,PN-5579,152,62,12/24/2020,2024-05-03,9
SHIP-772,MFG-55,PN-8992,115,39.32,26-12-2022,2020-02-02,31
SHIP-773,MFG-38,PN-3731,109,77,01/15/2023,2022-11-23,28
SHIP-774,MFG-24,PN-1750,172,"99,88",2023-02-12,2020-12-26,9
SHIP-775,MFG-195,PN-8229,109,49,2022-02-04,01-02-2022,28
SHIP-776,MFG-97,PN-8002,5,18,2023-05-04,2021-12-21,16
SHIP-777,MFG-132,PN-7059,86,51.63,2023-03-08,2024-12-06,13
SHIP-778,MFG-70,PN-2294,112,"72,06",2023-07-10,28-02-2023,22
SHIP-779,MFG-191,PN-3700,119,76.66,2020-12-20,09/06/2022,21
SHIP-780,MFG-125,PN-7486,139,13.98,07/02/2022,02-10-2024,23
SHIP-781,MFG-125,PN-3934,27,"86,28",05/09/2023,2021-06-17,3
SHIP-782,MFG-48,PN-9398,187,"13,44",2023-01-09,2024-08-02,10
SHIP-783,MFG-36,PN-6149,167,75.6,2020-02-06,09-01-2020,5
SHIP-784,MFG-180,PN-1003,16,10.86,08-11-2020,08-02-2024,27
SHIP-785,MFG-159,PN-8452,51,"78,19",2022-09-21,2022-08-14,12
SHIP-786,MFG-107,PN-4272,89,98.74,2020-04-03,2020-09-26,1
SHIP-787,MFG-197,PN-6615,181,"38,37",2020-07-24,23-01-2022,26
SHIP-788,MFG-179,PN-5995,121,92.51,10/18/2022,08-04-2022,9
SHIP-789,MFG-181,PN-9826,116,82.13,25-01-2021,11-03-2023,10
SHIP-790,MFG-8,PN-7439,83,"42,75",14-01-2023,2022-09-22,29
SHIP-791,MFG-169,PN-1891,168,"78,38",2020-02-11,2020-05-05,1
SHIP-792,MFG-103,PN-6273,91,25,2020-03-17,13-03-2021,7
SHIP-793,MFG-175,PN-9535,130,56,03/25/2021,2024-03-19,28
SHIP-794,MFG-131,PN-2326,117,95.96,02/12/2020,2023-08-21,1
SHIP-795,MFG-161,PN-8199,117,"81,84",2024-09-26,2021-06-24,62
SHIP-796,MFG-116,PN-3533,91,1,2024-07-27,2022-01-20,19
SHIP-797,MFG-195,PN-5454,178,77.52,2021-12-24,2021-08-17,1
SHIP-798,MFG-34,PN-2864,66,2.08,2022-09-13,2022-01-13,24
SHIP-799,MFG-66,PN-9159,23,50.58,2020-02-20,03/28/2020,14
SHIP-800,MFG-159,PN-1443,58,48.7,2021-12-08,2020-03-08,7
SHIP-801,MFG-195,PN-1869,132,63,04/04/2022,14-04-2021,14
SHIP-802,MFG-72,PN-4225,24,1.17,2024-11-12,2022-03-27,5
SHIP-803,MFG-43,PN-6948,99,"54,77",2021-02-11,2023-07-08,25
SHIP-804,MFG-44,PN-7642,34,"38,86",2023-06-12,2020-10-20,65
SHIP-805,MFG-118,PN-6365,47,"2,27",23-08-2024,2024-11-03,27
SHIP-806,MFG-195,PN-9178,113,32,2022-03-26,2021-02-07,25
SHIP-807,MFG-162,PN-4405,35,"54,13",2024-10-16,2024-12-26,10
SHIP-808,MFG-35,PN-1548,103,36.86,2023-07-24,02/21/2020,13
SHIP-809,MFG-8,PN-5345,146,35.84,09-06-2021,06/18/2022,28
SHIP-810,MFG-48,PN-6844,68,47,2022-08-28,24-05-2024,22
SHIP-811,MFG-52,PN-4766,84,64,03-07-2021,2021-05-07,6
SHIP-812,MFG-138,PN-5757,143,72,09/27/2024,2020-04-27,13
SHIP-813,MFG-12,PN-9874,176,11,17-07-2021,2023-11-16,14
SHIP-814,MFG-30,PN-1269,92,"70,65",08-04-2024,05-03-2024,54
SHIP-815,MFG-128,PN-2030,96,84,01/26/2023,26-07-2023,48
SHIP-816,MFG-154,PN-5395,106,80,07/04/2024,2023-03-03,4
SHIP-817,MFG-12,PN-1270,137,42.76,2021-05-21,14-03-2024,26
SHIP-818,MFG-134,PN-7173,97,29.91,2022-10-01,2022-09-16,2
SHIP-819,MFG-131,PN-7392,7,83.15,05-03-2021,19-01-2022,26
SHIP-820,MFG-124,PN-9589,8,"92,99",2022-04-04,2020-01-24,1
SHIP-821,MFG-72,PN-4600,160,"91,47",10-03-2020,2024-07-01,13
SHIP-822,MFG-12,PN-8416,97,32.69,2024-11-05,09/01/2024,14
SHIP-823,MFG-182,PN-4304,32,58.92,15-02-2022,05/01/2024,17
SHIP-824,MFG-105,PN-3310,160,35,2020-08-12,21-01-2020,16
SHIP-825,MFG-23,PN-3107,180,78,07-12-2024,07/04/2021,11
SHIP-826,MFG-7,PN-5703,154,86.01,01-04-2022,11/05/2024,25
SHIP-827,MFG-120,PN-8204,33,37.61,10/19/2020,2024-07-02,16
SHIP-828,MFG-91,PN-5080,102,39,2023-03-19,2023-02-28,25
SHIP-829,MFG-61,PN-9243,162,85,04/11/2020,02/07/2020,29
SHIP-830,MFG-111,PN-7157,140,15.6,10/05/2024,22-09-2021,18
SHIP-831,MFG-180,PN-4344,13,54.88,03-06-2021,2024-09-22,51
SHIP-832,MFG-124,PN-5526,64,96.92,2022-08-04,2022-02-26,24
SHIP-833,MFG-73,PN-8145,112,"94,73",08-02-2023,23-04-2020,24
SHIP-834,MFG-172,PN-6299,85,"23,82",2024-05-10,2023-09-11,9
SHIP-835,MFG-27,PN-8526,101,59.44,2022-12-13,2020-07-03,30
SHIP-836,MFG-154,PN-6318,100,50.67,2021-12-17,2020-08-16,26
SHIP-837,MFG-184,PN-8195,88,55,2023-04-23,2024-04-20,18
SHIP-838,MFG-55,PN-2855,91,84,2023-03-10,09/20/2021,22
SHIP-839,MFG-154,PN-9214,16,21.74,10/27/2021,2024-06-26,21
SHIP-840,MFG-149,PN-9599,166,48.59,07/06/2022,2023-06-25,22
SHIP-841,MFG-159,PN-8123,176,43.83,2023-05-25,2021-02-09,26
SHIP-842,MFG-185,PN-7235,99,10.48,2022-03-16,2024-09-22,8
SHIP-843,MFG-108,PN-4144,116,"57,3",2021-04-08,08-04-2022,13
SHIP-844,MFG-143,PN-9079,195,"29,15",2022-10-03,21-10-2024,19
SHIP-845,MFG-74,PN-5810,66,"82,4",2022-02-09,2020-01-05,28
SHIP-846,MFG-162,PN-8912,180,5.96,24-03-2024,2023-09-26,7
SHIP-847,MFG-53,PN-6048,79,"51,69",19-02-2022,2020-10-17,12
SHIP-848,MFG-90,PN-7480,159,99.84,02/10/2022,2021-10-12,27
SHIP-849,MFG-39,PN-9862,165,31,01/20/2022,2023-07-26,53
SHIP-850,MFG-72,PN-2128,46,57,2021-09-27,10/17/2020,24
SHIP-851,MFG-37,PN-6257,151,86.03,21-06-2021,01-01-2023,15
SHIP-852,MFG-32,PN-5217,119,100.3,05-01-2023,01/05/2021,14
SHIP-853,MFG-154,PN-7311,109,45.28,23-12-2022,2020-12-26,7
SHIP-854,MFG-104,PN-4783,13,5,2020-05-19,2024-08-19,3
SHIP-855,MFG-75,PN-5229,105,31.74,2020-04-07,08/20/2022,1
SHIP-856,MFG-11,PN-7350,88,"47,74",2020-02-26,2023-09-06,25
SHIP-857,MFG-164,PN-6891,155,"83,9",07/03/2022,02/21/2022,18
SHIP-858,MFG-93,PN-6284,181,"22,5",06-08-2020,03/14/2021,30
SHIP-859,MFG-8,PN-5171,145,73.16,2020-06-14,2020-05-01,1
SHIP-860,MFG-173,PN-9976,19,90.65,2024-05-25,21-04-2023,27
SHIP-861,MFG-13,PN-1465,49,27,03/23/2022,24-06-2020,10
SHIP-862,MFG-47,PN-8560,166,28.19,01/17/2021,08/26/2022,15
SHIP-863,MFG-34,PN-5942,27,25.82,09/27/2021,11/05/2024,21
SHIP-864,MFG-116,PN-7218,6,41.14,06/14/2022,01-05-2022,5
SHIP-865,MFG-142,PN-6616,83,81,09-09-2020,06/14/2020,3
SHIP-866,MFG-93,PN-2837,51,79,2023-02-22,01/23/2021,6
SHIP-867,MFG-55,PN-6094,170,95,22-08-2024,2023-04-22,14
SHIP-868,MFG-174,PN-9680,133,62.68,2022-10-15,2021-05-09,6
SHIP-869,MFG-132,PN-2305,42,"67,34",2023-01-11,05/18/2022,3
SHIP-870,MFG-111,PN-5935,104,"80,87",12/10/2022,05/09/2021,12
SHIP-871,MFG-95,PN-2613,47,66,08/19/2021,2022-06-26,27
SHIP-872,MFG-138,PN-7778,163,"5,16",23-02-2023,2021-10-09,16
SHIP-873,MFG-153,PN-9972,21,16.27,04-02-2023,03-10-2020,4
SHIP-874,MFG-44,PN-5568,48,53.8,22-08-2023,2021-02-24,26
SHIP-875,MFG-183,PN-8075,101,100.07,2020-12-28,03/13/2020,20
SHIP-876,MFG-118,PN-2798,175,8.38,04-12-2024,21-07-2020,9
SHIP-877,MFG-75,PN-4415,133,33.03,2021-05-18,2020-01-18,10
SHIP-878,MFG-24,PN-5739,12,63,06/12/2023,2021-05-08,20
SHIP-879,MFG-78,PN-5193,96,71.77,2022-03-15,2021-09-23,63
SHIP-880,MFG-15,PN-1828,108,"96,39",2022-07-22,10/14/2022,44
SHIP-881,MFG-95,PN-8775,75,10,2022-02-16,2022-07-04,3
SHIP-882,MFG-11,PN-4228,132,"2,69",2022-11-27,2022-03-02,22
SHIP-883,MFG-13,PN-3551,100,25.64,2023-07-12,2020-05-07,7
SHIP-884,MFG-166,PN-9656,146,83.8,12/22/2023,2020-03-20,14
SHIP-885,MFG-45,PN-7634,76,35.26,12/19/2021,2021-05-01,14
SHIP-886,MFG-89,PN-2843,71,93,2021-06-04,2021-07-04,30
SHIP-887,MFG-111,PN-2189,139,96.05,2021-04-03,2022-04-10,4
SHIP-888,MFG-187,PN-2874,35,61.3,16-10-2022,2022-11-26,30
SHIP-889,MFG-157,PN-9554,51,89.95,2020-03-26,2021-11-24,28
SHIP-890,MFG-33,PN-6379,55,89,2020-09-26,11-06-2023,10
SHIP-891,MFG-56,PN-2464,51,65.9,2023-09-06,2023-06-18,12
SHIP-892,MFG-16,PN-1512,48,55,2020-08-16,2022-03-24,21
SHIP-893,MFG-130,PN-3533,94,73.5,2024-06-18,10-07-2022,11
SHIP-894,MFG-157,PN-4536,66,6.52,03-03-2024,2023-08-17,20
SHIP-895,MFG-70,PN-6000,181,59,2020-12-02,16-05-2022,3
SHIP-896,MFG-164,PN-5706,47,"92,94",2022-06-27,2024-03-15,11
SHIP-897,MFG-155,PN-6183,166,63.65,02/25/2020,12/19/2021,24
SHIP-898,MFG-152,PN-4586,122,75.57,2024-09-07,20-08-2020,23
SHIP-899,MFG-191,PN-5786,188,100.1,2023-05-25,09/14/2020,14
SHIP-900,MFG-14,PN-1332,136,99.99,06-11-2020,08/01/2020,1
SHIP-901,MFG-84,PN-6177,15,84,18-11-2020,24-01-2023,14
SHIP-902,MFG-31,PN-6485,109,1,11/05/2022,10/08/2022,7
SHIP-903,MFG-34,PN-7688,95,95.09,25-04-2021,03-08-2020,63
SHIP-904,MFG-139,PN-5651,157,70.65,07-03-2021,25-12-2020,9
SHIP-905,MFG-49,PN-5161,46,63.94,2022-02-01,11/03/2024,4
SHIP-906,MFG-146,PN-4461,96,22,18-06-2024,2024-04-01,7
SHIP-907,MFG-48,PN-2756,177,9.06,2023-12-25,07/05/2020,27
SHIP-908,MFG-46,PN-8311,109,30.49,2022-01-25,2020-02-12,24
SHIP-909,MFG-119,PN-2164,43,"62,67",04/17/2023,2024-07-23,17
SHIP-910,MFG-138,PN-8925,2,80.89,08/07/2022,2023-03-02,17
SHIP-911,MFG-69,PN-4914,86,93.28,2022-02-13,02/24/2022,7
SHIP-912,MFG-191,PN-5658,150,96.68,2024-11-28,2022-05-06,20
SHIP-913,MFG-69,PN-2086,72,25,2022-04-01,02-04-2024,29
SHIP-914,MFG-154,PN-1689,168,"64,62",2022-01-28,2023-05-26,12
SHIP-915,MFG-143,PN-2881,32,79.72,10/15/2020,18-03-2023,20
SHIP-916,MFG-31,PN-2391,109,"94,52",21-07-2024,2023-08-01,29
SHIP-917,MFG-61,PN-1242,28,"75,71",2020-07-07,19-06-2020,28
SHIP-918,MFG-134,PN-2164,131,"53,56",09/05/2020,12/03/2022,23
SHIP-919,MFG-48,PN-1413,40,41,2020-09-01,06/02/2021,25
SHIP-920,MFG-185,PN-3361,26,"52,46",2022-04-02,02/28/2020,33
SHIP-921,MFG-41,PN-6663,69,3,2023-07-15,2024-12-23,10
SHIP-922,MFG-3,PN-7296,141,84.07,01/11/2023,07-08-2024,18
SHIP-923,MFG-30,PN-7006,3,76.66,2022-05-10,14-07-2023,27
SHIP-924,MFG-176,PN-4072,3,32,2020-02-25,05/20/2021,9
SHIP-925,MFG-37,PN-8246,155,34.16,07-04-2024,04/02/2023,21
SHIP-926,MFG-38,PN-2595,86,4.8,06-09-2023,25-11-2023,7
SHIP-927,MFG-152,PN-3547,87,71.14,21-04-2023,2024-05-05,27
SHIP-928,MFG-130,PN-5749,68,85.2,2023-06-03,24-06-2021,8
SHIP-929,MFG-164,PN-3967,108,36,2024-12-20,10/12/2021,30
SHIP-930,MFG-9,PN-7179,54,44.02,2023-12-02,2024-09-07,5
SHIP-931,MFG-51,PN-7390,57,98,12/15/2024,2024-08-25,9
SHIP-932,MFG-44,PN-7751,73,"38,7",02-01-2020,2021-06-14,25
SHIP-933,MFG-24,PN-4713,71,"17,22",2022-12-02,20-02-2023,7
SHIP-934,MFG-15,PN-3704,24,63.88,2020-03-22,06/25/2021,1
SHIP-935,MFG-158,PN-8908,100,51,04-01-2023,2023-05-05,4
SHIP-936,MFG-5,PN-4049,97,45.64,07-10-2021,07/24/2022,8
SHIP-937,MFG-166,PN-4722,98,85.29,28-08-2023,2020-03-01,8
SHIP-938,MFG-41,PN-7107,117,50,2024-03-27,12/05/2022,7
SHIP-939,MFG-71,PN-6918,66,83.89,11/19/2022,2023-12-15,4
SHIP-940,MFG-6,PN-3378,47,"35,2",2024-04-14,2021-04-01,30
SHIP-941,MFG-31,PN-4582,57,"81,22",07/19/2024,01-01-2022,3
SHIP-942,MFG-147,PN-2650,159,12.99,25-09-2021,09-02-2020,13
SHIP-943,MFG-200,PN-6164,36,74,2021-08-23,14-12-2024,28
SHIP-944,MFG-11,PN-1382,80,"62,17",27-09-2023,2024-11-08,31
SHIP-945,MFG-135,PN-8724,60,"97,74",28-11-2020,09/04/2021,24
SHIP-946,MFG-122,PN-9178,135,19,13-06-2020,2022-02-20,18
SHIP-947,MFG-56,PN-6570,68,81,06-05-2022,23-07-2024,15
SHIP-948,MFG-154,PN-6960,21,98.01,06/04/2021,2022-01-11,6
SHIP-949,MFG-101,PN-2950,42,93.23,2020-01-09,2024-09-15,2
SHIP-950,MFG-54,PN-1004,8,67,2024-10-05,2021-10-23,16
SHIP-951,MFG-129,PN-2555,102,79.83,04-06-2024,23-02-2022,4
SHIP-952,MFG-143,PN-8797,110,88,2022-03-26,2023-09-09,12
SHIP-953,MFG-161,PN-9319,8,55.18,2022-07-12,2024-03-13,46
SHIP-954,MFG-116,PN-1522,66,96.74,2021-10-13,2021-10-16,5
SHIP-955,MFG-136,PN-7303,10,19,2023-09-13,2022-05-12,6
SHIP-956,MFG-30,PN-7876,121,49.29,03/10/2021,2020-02-25,29
SHIP-957,MFG-31,PN-9699,13,23,09/12/2023,08-10-2020,26
SHIP-958,MFG-127,PN-6891,123,66.23,2020-09-01,2023-07-04,13
SHIP-959,MFG-84,PN-1866,122,42.37,2020-05-10,07/03/2022,11
SHIP-960,MFG-48,PN-8655,80,23,06/04/2023,2024-07-01,18
SHIP-961,MFG-77,PN-5924,98,71.17,2021-07-04,09/18/2024,5
SHIP-962,MFG-195,PN-7813,146,"78,87",2023-08-13,2022-07-28,1
SHIP-963,MFG-103,PN-7133,17,8.28,2024-02-12,19-10-2020,18
SHIP-964,MFG-5,PN-7611,118,61,2024-12-08,2024-10-13,8
SHIP-965,MFG-29,PN-5829,86,89.94,2023-09-22,04-07-2023,23
SHIP-966,MFG-5,PN-4036,39,"79,7",2024-07-19,10-11-2021,5
SHIP-967,MFG-115,PN-7652,54,"97,63",2020-02-21,2020-07-09,10
SHIP-968,MFG-114,PN-5494,122,96.25,18-09-2020,10/06/2022,15
SHIP-969,MFG-98,PN-2386,169,17.82,09/02/2021,2021-02-20,10
SHIP-970,MFG-160,PN-9537,169,53.1,01/10/2020,07/17/2021,9
SHIP-971,MFG-119,PN-5143,127,20,07/24/2022,2023-02-22,28
SHIP-972,MFG-74,PN-2139,99,1.02,2024-06-14,02/26/2024,5
SHIP-973,MFG-73,PN-5850,152,66,05-12-2024,2024-09-10,60
SHIP-974,MFG-116,PN-3090,58,"52,5",16-03-2020,06/08/2023,28
SHIP-975,MFG-4,PN-4091,110,"57,53",11/06/2022,2020-10-18,21
SHIP-976,MFG-178,PN-2366,44,85,2020-02-19,2020-03-13,25
SHIP-977,MFG-81,PN-2067,76,72.13,2021-08-27,25-10-2022,16
SHIP-978,MFG-171,PN-6970,147,51.95,03/23/2021,2020-02-02,8
SHIP-979,MFG-25,PN-9961,176,"41,64",2024-11-27,2021-02-27,10
SHIP-980,MFG-198,PN-9025,199,71,08-11-2024,09/16/2023,12
SHIP-981,MFG-78,PN-1698,58,52.2,2021-02-22,03/19/2022,20
SHIP-982,MFG-24,PN-6803,65,15.15,04/05/2020,01/24/2020,12
SHIP-983,MFG-114,PN-9898,18,1.11,2021-05-08,02/03/2020,4
SHIP-984,MFG-182,PN-9765,90,99,2020-10-27,15-10-2021,10
SHIP-985,MFG-72,PN-2995,138,47,11/16/2021,2022-08-04,15
SHIP-986,MFG-16,PN-1353,94,78,2021-06-28,2022-09-23,30
SHIP-987,MFG-19,PN-8945,106,"6,42",2022-08-10,2024-01-26,12
SHIP-988,MFG-73,PN-7491,121,81.11,28-11-2023,2024-07-20,3
SHIP-989,MFG-46,PN-2173,50,5,2021-09-12,16-02-2020,28
SHIP-990,MFG-141,PN-5327,188,"20,49",11/13/2021,01-08-2024,25
SHIP-991,MFG-28,PN-1460,120,98.27,2021-07-20,2023-06-14,29
SHIP-992,MFG-66,PN-9696,103,"16,36",2024-09-21,03/07/2021,10
SHIP-993,MFG-129,PN-9241,161,37,2020-11-27,2024-08-08,29
SHIP-994,MFG-132,PN-8071,21,20,2024-06-04,2021-03-10,4
SHIP-995,MFG-45,PN-3581,147,25,01/16/2024,2023-02-03,4
SHIP-996,MFG-158,PN-8412,133,12.69,15-01-2022,19-07-2024,9
SHIP-997,MFG-169,PN-6571,144,"61,53",2022-11-06,03-05-2021,3
SHIP-998,MFG-106,PN-5966,168,72,2021-09-24,2020-09-04,21
SHIP-999,MFG-28,PN-2560,60,"28,19",22-10-2020,2024-12-05,25
SHIP-1000,MFG-56,PN-9345,87,91,04/01/2021,2024-06-22,15
SHIP-1001,MFG-188,PN-1453,159,54.89,03/16/2023,12/03/2024,6
SHIP-1002,MFG-117,PN-9871,25,97,2021-04-06,2020-01-12,5
SHIP-1003,MFG-90,PN-9959,77,40,11/06/2020,10/26/2024,26
SHIP-1004,MFG-163,PN-1780,198,61,04-08-2020,08-02-2021,25
SHIP-1005,MFG-191,PN-1111,22,"71,96",06/19/2021,07/04/2020,4
SHIP-1006,MFG-199,PN-7502,148,"30,15",09/16/2020,22-12-2023,14
SHIP-1007,MFG-198,PN-2814,13,36,2021-05-18,2020-04-19,16
SHIP-1008,MFG-106,PN-7397,9,11.96,15-07-2024,2023-02-21,24
SHIP-1009,MFG-69,PN-5370,31,"56,33",11/23/2022,2020-12-04,8
SHIP-1010,MFG-106,PN-5831,99,80,2022-02-15,2023-09-06,3
SHIP-1011,MFG-155,PN-6833,79,"52,35",22-01-2022,2020-02-25,63
SHIP-1012,MFG-56,PN-5379,141,16.05,2023-06-10,02/03/2023,24
SHIP-1013,MFG-88,PN-3973,110,"25,72",2023-11-01,2021-12-24,17
SHIP-1014,MFG-193,PN-8669,73,72,10/27/2024,2024-12-16,12
SHIP-1015,MFG-55,PN-8752,99,84.66,2020-10-26,2022-07-05,30
SHIP-1016,MFG-26,PN-2333,49,27.86,2022-08-11,2024-01-23,1
SHIP-1017,MFG-57,PN-4294,15,"94,51",2021-01-26,01-11-2020,29
SHIP-1018,MFG-173,PN-2215,98,59.37,02-06-2021,2023-08-04,13
SHIP-1019,MFG-114,PN-4563,27,93,24-07-2023,2020-04-25,24
SHIP-1020,MFG-66,PN-9442,14,"97,43",2021-03-10,2020-05-02,25
SHIP-1021,MFG-178,PN-6403,154,"74,92",24-11-2021,06/14/2023,30
SHIP-1022,MFG-138,PN-7157,162,96.78,04/18/2022,04/14/2021,24
SHIP-1023,MFG-32,PN-4120,161,37.63,09-03-2021,2024-12-14,29
SHIP-1024,MFG-29,PN-5815,106,68.57,2023-06-03,05-02-2020,21
SHIP-1025,MFG-41,PN-5360,104,19,2021-05-01,12/17/2024,61
SHIP-1026,MFG-53,PN-3836,137,35,05/11/2022,09/06/2022,7
SHIP-1027,MFG-88,PN-9305,112,83.62,2021-12-26,2024-11-12,9
SHIP-1028,MFG-109,PN-5877,37,38.88,2022-07-04,2020-12-21,8
